"Water Control Zone","Station","Dates","Sample No","Depth","Chlorophyll-a (μg/L)","Dissolved Oxygen (mg/L)","pH","Salinity (psu)","Turbidity (NTU)","Temperature (°C)","Suspended Solids (mg/L)","Total Inorganic Nitrogen (mg/L)"
"Tolo Harbour and Channel","TM2","1987-08-05","1","Surface Water","34","8.9","8.1","28.6","6.5","27.9","7.5","0.11"
"Tolo Harbour and Channel","TM2","1987-08-05","1","Bottom Water","33","1.4","8","32.7","8.3","25","9","0.15"
"Tolo Harbour and Channel","TM2","1987-08-19","1","Surface Water","24","13.2","8.6","28.9","4.7","29","10","0.71"
"Tolo Harbour and Channel","TM2","1987-08-19","1","Bottom Water","8.8","6.4","8.2","30.7","5.1","28.2","6","0.22"
"Tolo Harbour and Channel","TM2","1987-09-02","1","Surface Water","5.3","8.2","8.6","29.9","5.1","28.9","5","0.24"
"Tolo Harbour and Channel","TM2","1987-09-02","1","Bottom Water","5.7","6.3","8.4","31.3","6.1","28.7","2","0.16"
"Tolo Harbour and Channel","TM2","1987-09-16","1","Surface Water","7.6","6.5","8.6","30.5","8.3","28.9","13","0.28"
"Tolo Harbour and Channel","TM2","1987-09-16","1","Bottom Water","14","5","8.5","31.2","11.5","28.8","3.5","0.18"
"Tolo Harbour and Channel","TM2","1987-09-30","1","Surface Water","81","7","8.6","29.9","14","27.1","4","0.13"
"Tolo Harbour and Channel","TM2","1987-09-30","1","Bottom Water","82","6.2","8.6","30.5","8","27","1","0.03"
"Tolo Harbour and Channel","TM2","1987-10-14","1","Surface Water","49","7.8","8.3","30.2","12","28","12","0.16"
"Tolo Harbour and Channel","TM2","1987-10-28","1","Surface Water","4.6","5.2","8.1","29.2","8","24.2","3","0.56"
"Tolo Harbour and Channel","TM2","1987-10-28","1","Bottom Water","2.5","4.2","8.1","33.1","3.5","25.1","1.5","0.34"
"Tolo Harbour and Channel","TM2","1987-11-11","1","Surface Water","9.5","5.9","8.3","31.1","5.2","24","3.5","0.46"
"Tolo Harbour and Channel","TM2","1987-11-11","1","Bottom Water","7.4","2.9","8.3","32.4","4.6","24.2","2","0.32"
"Tolo Harbour and Channel","TM2","1987-11-25","1","Surface Water","6.1","4.2","7.9","31.2","2.2","23.5","5","0.6"
"Tolo Harbour and Channel","TM2","1987-11-25","1","Bottom Water","5","4","8","32.5","1.6","23.5","2","0.48"
"Tolo Harbour and Channel","TM2","1987-12-09","1","Surface Water","18","7.6","8.2","29.1","3.6","16.6","9","1.35"
"Tolo Harbour and Channel","TM2","1987-12-23","1","Surface Water","16","8.5","8.3","31.8","5.5","17.1","7.5","0.17"
"Tolo Harbour and Channel","TM2","1987-12-23","1","Bottom Water","9.3","8.9","8.2","31.9","5","17.1","6","0.07"
"Tolo Harbour and Channel","TM2","1988-01-06","1","Surface Water","39","8.2","8.5","32.2","6.1","18","20","0.66"
"Tolo Harbour and Channel","TM2","1988-01-06","1","Bottom Water","9.5","7.2","8.3","33.8","3.2","18.5","6","0.15"
"Tolo Harbour and Channel","TM2","1988-01-20","1","Surface Water","2.5","6.4","8.2","30.4","2","18.5","12","0.56"
"Tolo Harbour and Channel","TM2","1988-01-20","1","Bottom Water","1","7","8.2","31","2","18.5","36","0.29"
"Tolo Harbour and Channel","TM2","1988-02-03","1","Surface Water","33","7","8.4","30.2","3","18.4","20","0.59"
"Tolo Harbour and Channel","TM2","1988-02-03","1","Bottom Water","31","7.3","8.4","31.1","3","18.7","17","0.15"
"Tolo Harbour and Channel","TM2","1988-02-15","1","Surface Water","2.7","8.4","8.3","29.8","4.9","18.5","7","0.5"
